"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"C1";"10nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C2";"10nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C3";"10nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C4";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C5";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C6";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C7";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C8";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C9";"10nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C10";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C11";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C12";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C13";"22pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"C14";"22pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";
"DA1";"TJA1050";"TJA1050";"SO08";"High speed CAN transceiver";"";"";"";"";"";
"DBG_GND";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";
"DBG_SWCLK";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";
"DBG_SWDIO";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";
"DBG_VCC_3V3";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";
"DSUB-9";"CAN";"M09HPS";"M09HP";"SUB-D";"";"";"unknown";"unknown";"";
"GND";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";
"H1";"SPECIAL_DRILL_0.1000";"SPECIAL_DRILL_0.1000";"PAD_0.1000";"Special drills";"";"";"";"";"";
"H2";"SPECIAL_DRILL_0.1000";"SPECIAL_DRILL_0.1000";"PAD_0.1000";"Special drills";"";"";"";"";"";
"H3";"SPECIAL_DRILL_0.1000";"SPECIAL_DRILL_0.1000";"PAD_0.1000";"Special drills";"";"";"";"";"";
"H4";"SPECIAL_DRILL_0.1000";"SPECIAL_DRILL_0.1000";"PAD_0.1000";"Special drills";"";"";"";"";"";
"IC1";"STM32F10XCXT6";"STM32F10XCXT6";"TQFP48";"ST STM32F101/103 48pin LQFP";"";"";"";"";"";
"IC4";"LM1117MP-5.0";"LM1117MP-5.0";"SOT223";"800mA Low-Dropout Linear Regulator";"Texas Instruments";"LM1117MP-5.0";"9778209";"28X3417";"";
"IC5";"LM1117MP-3.3";"LM1117MP-3.3";"SOT223";"800mA Low-Dropout Linear Regulator";"Texas Instruments";"LM1117MP-3.3";"9778195";"28X3416";"";
"KL30";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";
"LED_PWR";"RED";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";
"LED_TX";"GREEN";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";
"Q1";"8MHz";"CRYSTALHC49UP";"HC49UP";"CRYSTAL";"";"";"unknown";"unknown";"";
"R1";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R2";"68";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R3";"56";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R4";"390";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R5";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R6";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R7";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"R8";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";
"S1";"9077-1";"9077-1";"9077-1";"MARQUARDT SWITCH 9077.0100";"";"";"";"";"";
